round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,optimizer
30,0.05764952674508095,0.9805777072906494,0.3895750939846039,0.8967517614364624,relu,64,0.2,30,Adam
30,0.05086011067032814,0.9840637445449829,0.37391719222068787,0.9199535846710205,relu,64,0.2,30,RMSprop
60,0.013876408338546753,0.995517909526825,0.40481582283973694,0.9199535846710205,relu,64,0.2,60,Adam
60,0.021356139332056046,0.9890438318252563,0.5306142568588257,0.924593985080719,relu,64,0.2,60,RMSprop
30,0.08422189950942993,0.9701195359230042,0.2869780957698822,0.9141531586647034,relu,64,0.3,30,Adam
30,0.1250208169221878,0.9576693177223206,0.2709466218948364,0.9257540702819824,relu,64,0.3,30,RMSprop
60,0.037728894501924515,0.9865537881851196,0.3224130868911743,0.9327146410942078,relu,64,0.3,60,Adam
60,0.057282738387584686,0.9830677509307861,0.4392598867416382,0.9187934994697571,relu,64,0.3,60,RMSprop
30,0.08213917165994644,0.9721115827560425,0.37854230403900146,0.8805104494094849,relu,128,0.2,30,Adam
30,0.12613116204738617,0.9477091431617737,0.3131789267063141,0.9129930138587952,relu,128,0.2,30,RMSprop
60,0.015249241143465042,0.9950199127197266,0.37612199783325195,0.9141531586647034,relu,128,0.2,60,Adam
60,0.024726564064621925,0.9925298690795898,0.4514475166797638,0.9280742406845093,relu,128,0.2,60,RMSprop
30,0.11926527321338654,0.9591633677482605,0.2641216516494751,0.9187934994697571,relu,128,0.3,30,Adam
30,0.19685520231723785,0.9193227291107178,0.36668094992637634,0.8909512758255005,relu,128,0.3,30,RMSprop
60,0.04034816846251488,0.9830677509307861,0.31111618876457214,0.9303944110870361,relu,128,0.3,60,Adam
60,0.042117372155189514,0.9840637445449829,0.4395972788333893,0.9153132438659668,relu,128,0.3,60,RMSprop
30,0.02051403373479843,0.9910358786582947,0.4596111476421356,0.8932714462280273,tanh,64,0.2,30,Adam
30,0.04058324545621872,0.9860557913780212,0.9259658455848694,0.8329466581344604,tanh,64,0.2,30,RMSprop
60,0.010706170462071896,0.9960159659385681,0.5546778440475464,0.9164733290672302,tanh,64,0.2,60,Adam
60,0.004033009056001902,0.9995020031929016,1.022904634475708,0.8665893077850342,tanh,64,0.2,60,RMSprop
30,0.06410982459783554,0.9775896668434143,0.6347825527191162,0.8770301342010498,tanh,64,0.3,30,Adam
30,0.058866236358881,0.9785856604576111,0.5349730253219604,0.8967517614364624,tanh,64,0.3,30,RMSprop
60,0.009577012620866299,0.9965139627456665,0.5293564200401306,0.9129930138587952,tanh,64,0.3,60,Adam
60,0.058362219482660294,0.9815737009048462,0.5865151286125183,0.9013921022415161,tanh,64,0.3,60,RMSprop
30,0.029737334698438644,0.9895418286323547,0.3455224335193634,0.9095127582550049,tanh,128,0.2,30,Adam
30,0.040116287767887115,0.9860557913780212,0.750904381275177,0.8306264281272888,tanh,128,0.2,30,RMSprop
60,0.01863102614879608,0.9925298690795898,0.749485969543457,0.8897911906242371,tanh,128,0.2,60,Adam
60,0.013109353370964527,0.9960159659385681,0.8528841137886047,0.8897911906242371,tanh,128,0.2,60,RMSprop
30,0.05461883172392845,0.980079710483551,0.40243175625801086,0.9118329286575317,tanh,128,0.3,30,Adam
30,0.10021934658288956,0.9661354422569275,0.46855515241622925,0.8735498785972595,tanh,128,0.3,30,RMSprop
60,0.029825229197740555,0.9895418286323547,0.42513787746429443,0.9176334142684937,tanh,128,0.3,60,Adam
60,0.03240233659744263,0.9880478382110596,0.5281387567520142,0.8944315314292908,tanh,128,0.3,60,RMSprop
