round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
20,0.6594089269638062,0.6877490282058716,0.7184075713157654,0.718097448348999,relu,32,0.3,20,10,Adam,2
20,0.5781263709068298,0.7574701309204102,0.613109290599823,0.7401391863822937,relu,32,0.3,20,10,Adam,4
20,0.5251250863075256,0.7853585481643677,0.6441794633865356,0.7447795867919922,relu,32,0.3,20,10,Adam,6
20,0.4737204313278198,0.804780900478363,0.755099356174469,0.7401391863822937,relu,32,0.3,20,10,RMSprop,2
20,0.44917741417884827,0.8167330622673035,0.6488041877746582,0.7703016400337219,relu,32,0.3,20,10,RMSprop,4
20,0.4640956223011017,0.8032868504524231,0.6220611929893494,0.7679814100265503,relu,32,0.3,20,10,RMSprop,6
20,0.7601307034492493,0.6558765172958374,0.6123284697532654,0.7320185899734497,relu,32,0.3,20,8,Adam,2
20,0.5094201564788818,0.7973107695579529,0.5882080793380737,0.7865429520606995,relu,32,0.3,20,8,Adam,4
20,0.6171031594276428,0.7599601745605469,0.7139623761177063,0.7436195015907288,relu,32,0.3,20,8,Adam,6
20,0.4959641695022583,0.7878485918045044,0.6002366542816162,0.7575405836105347,relu,32,0.3,20,8,RMSprop,2
20,0.532558798789978,0.7868525981903076,0.677718997001648,0.7772621512413025,relu,32,0.3,20,8,RMSprop,4
20,0.4580569863319397,0.8057768940925598,0.6653345823287964,0.76450115442276,relu,32,0.3,20,8,RMSprop,6
20,0.605816662311554,0.7365537881851196,0.6533671021461487,0.7250580191612244,relu,32,0.3,20,6,Adam,2
20,0.6105546951293945,0.7350597381591797,0.632741391658783,0.7610208988189697,relu,32,0.3,20,6,Adam,4
20,0.5829951763153076,0.7679283022880554,0.6771518588066101,0.7122969627380371,relu,32,0.3,20,6,Adam,6
20,0.49723896384239197,0.7813745141029358,0.5704219937324524,0.7389791011810303,relu,32,0.3,20,6,RMSprop,2
20,0.5057998299598694,0.7938246726989746,0.5944840312004089,0.7494199275970459,relu,32,0.3,20,6,RMSprop,4
20,0.5110911726951599,0.7923306822776794,0.7074887752532959,0.7459396719932556,relu,32,0.3,20,6,RMSprop,6
60,0.27154740691185,0.8974103331565857,0.7324236035346985,0.7389791011810303,relu,32,0.3,60,10,Adam,2
60,0.7704532742500305,0.6917330622673035,0.9671637415885925,0.6531322598457336,relu,32,0.3,60,10,Adam,4
60,0.3926328122615814,0.8585657477378845,0.7301986217498779,0.7795823812484741,relu,32,0.3,60,10,Adam,6
60,0.1667182296514511,0.9342629313468933,0.6853528022766113,0.8213456869125366,relu,32,0.3,60,10,RMSprop,2
